trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,rewards_captured,shock,total_reward_captured,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,4,0,4,left,0.4283951999968849,300,0,300,p6,001,2022-04-21_18h53.52.387,Patch_Foraging_19_12_30am,2022.1.2,59.96516024014096,
1,0,1,0,5,1,0,1,right,0.1043474000034621,100,0,400,p6,001,2022-04-21_18h53.52.387,Patch_Foraging_19_12_30am,2022.1.2,59.96516024014096,
2,0,2,0,1,4,0,5,left,0.3238370000035502,500,0,900,p6,001,2022-04-21_18h53.52.387,Patch_Foraging_19_12_30am,2022.1.2,59.96516024014096,
3,0,3,0,1,4,1,2,right,1.0961691999982577,0,0,900,p6,001,2022-04-21_18h53.52.387,Patch_Foraging_19_12_30am,2022.1.2,59.96516024014096,
4,0,4,0,2,5,0,2,left,0.17954290000488982,200,0,1100,p6,001,2022-04-21_18h53.52.387,Patch_Foraging_19_12_30am,2022.1.2,59.96516024014096,
5,0,5,0,2,5,0,3,left,0.15037979999033269,200,0,1300,p6,001,2022-04-21_18h53.52.387,Patch_Foraging_19_12_30am,2022.1.2,59.96516024014096,
6,0,6,0,5,1,0,5,right,0.7305837000021711,400,0,1700,p6,001,2022-04-21_18h53.52.387,Patch_Foraging_19_12_30am,2022.1.2,59.96516024014096,
7,0,7,0,2,5,1,3,right,0.5671862000017427,0,0,1700,p6,001,2022-04-21_18h53.52.387,Patch_Foraging_19_12_30am,2022.1.2,59.96516024014096,
8,0,8,0,1,4,0,3,left,0.19008689999463968,200,0,1900,p6,001,2022-04-21_18h53.52.387,Patch_Foraging_19_12_30am,2022.1.2,59.96516024014096,
9,0,9,0,1,4,0,1,left,0.291117699991446,100,0,2000,p6,001,2022-04-21_18h53.52.387,Patch_Foraging_19_12_30am,2022.1.2,59.96516024014096,
