trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,rewards_captured,shock,total_reward_captured,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,4,1,4,right,0.5085250999982236,100,-100,0,p4,001,2022-04-21_18h45.55.306,Patch_Foraging_19_12_30am,2022.1.2,59.9914932060898,
1,0,1,0,1,4,0,1,left,0.2414643999945838,100,0,100,p4,001,2022-04-21_18h45.55.306,Patch_Foraging_19_12_30am,2022.1.2,59.9914932060898,
2,0,2,0,2,5,1,1,right,0.256993799994234,0,0,100,p4,001,2022-04-21_18h45.55.306,Patch_Foraging_19_12_30am,2022.1.2,59.9914932060898,
3,0,3,0,1,4,0,1,left,0.24239240000315476,100,0,200,p4,001,2022-04-21_18h45.55.306,Patch_Foraging_19_12_30am,2022.1.2,59.9914932060898,
4,0,4,0,2,5,1,1,right,0.12347109999973327,0,0,200,p4,001,2022-04-21_18h45.55.306,Patch_Foraging_19_12_30am,2022.1.2,59.9914932060898,
5,0,5,0,2,5,1,2,right,0.20274320000316948,0,-100,100,p4,001,2022-04-21_18h45.55.306,Patch_Foraging_19_12_30am,2022.1.2,59.9914932060898,
6,0,6,0,2,5,1,4,right,0.011981099989498034,100,0,200,p4,001,2022-04-21_18h45.55.306,Patch_Foraging_19_12_30am,2022.1.2,59.9914932060898,
7,0,7,0,2,5,1,4,right,0.19321189999755006,100,-100,200,p4,001,2022-04-21_18h45.55.306,Patch_Foraging_19_12_30am,2022.1.2,59.9914932060898,
8,0,8,0,5,1,0,3,right,0.17934560000139754,300,0,500,p4,001,2022-04-21_18h45.55.306,Patch_Foraging_19_12_30am,2022.1.2,59.9914932060898,
9,0,9,0,1,4,1,3,right,0.37158600000839215,0,-100,400,p4,001,2022-04-21_18h45.55.306,Patch_Foraging_19_12_30am,2022.1.2,59.9914932060898,
