trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,1,0,3,left,12.348095165994891,Abhinav,001,2022_Apr_16_1740,Patch_Foraging,2021.2.3,60.04348661661026,
,,,,5,1,0,3,right,3.0247846659985953,,,,,,,
