trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,rewards_captured,shock,total_reward_captured,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,4,0,3,left,15.265334899944719,300,0,300,trial6,001,2022-04-19_16h33.52.576,Patch_Foraging_19_12_30am,2022.1.2,59.903124668335785,
1,0,1,0,1,4,0,3,left,0.5510755000286736,300,0,600,trial6,001,2022-04-19_16h33.52.576,Patch_Foraging_19_12_30am,2022.1.2,59.903124668335785,
2,0,2,0,2,5,1,3,right,3.077245299995411,100,-100,600,trial6,001,2022-04-19_16h33.52.576,Patch_Foraging_19_12_30am,2022.1.2,59.903124668335785,
3,0,3,0,2,5,1,3,right,3.832119600032456,0,0,600,trial6,001,2022-04-19_16h33.52.576,Patch_Foraging_19_12_30am,2022.1.2,59.903124668335785,
4,0,4,0,5,1,1,2,left,0.6310292999842204,0,-100,500,trial6,001,2022-04-19_16h33.52.576,Patch_Foraging_19_12_30am,2022.1.2,59.903124668335785,
