trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,rewards_captured,shock,total_reward_captured,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,5,1,3,right,2.767086200000449,100,-100,0,trial_class,001,2022-04-19_19h13.26.614,Patch_Foraging_19_12_30am,2022.1.2,59.98847021607131,
1,0,1,0,5,1,1,1,left,4.07636199999979,0,0,0,trial_class,001,2022-04-19_19h13.26.614,Patch_Foraging_19_12_30am,2022.1.2,59.98847021607131,
2,0,2,0,1,4,0,5,left,0.35169330000007903,400,0,400,trial_class,001,2022-04-19_19h13.26.614,Patch_Foraging_19_12_30am,2022.1.2,59.98847021607131,
3,0,3,0,5,1,1,1,left,0.3678416000002471,0,-100,300,trial_class,001,2022-04-19_19h13.26.614,Patch_Foraging_19_12_30am,2022.1.2,59.98847021607131,
4,0,4,0,1,4,1,2,right,0.8314631000002919,100,-100,300,trial_class,001,2022-04-19_19h13.26.614,Patch_Foraging_19_12_30am,2022.1.2,59.98847021607131,
