trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,rewards_captured,shock,total_reward_captured,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,1,0,2,right,0.09970880001492333,200,0,200,p1,001,2022-04-21_18h37.42.381,Patch_Foraging_19_12_30am,2022.1.2,59.95760996805327,
1,0,1,0,1,4,0,1,left,0.03102630001376383,100,0,300,p1,001,2022-04-21_18h37.42.381,Patch_Foraging_19_12_30am,2022.1.2,59.95760996805327,
2,0,2,0,2,5,0,2,left,0.20241230001556687,100,0,400,p1,001,2022-04-21_18h37.42.381,Patch_Foraging_19_12_30am,2022.1.2,59.95760996805327,
3,0,3,0,2,5,0,1,left,0.6752044000022579,100,0,500,p1,001,2022-04-21_18h37.42.381,Patch_Foraging_19_12_30am,2022.1.2,59.95760996805327,
4,0,4,0,1,4,0,3,left,0.05405680001422297,200,0,700,p1,001,2022-04-21_18h37.42.381,Patch_Foraging_19_12_30am,2022.1.2,59.95760996805327,
5,0,5,0,1,4,0,3,left,0.05711620001238771,300,0,1000,p1,001,2022-04-21_18h37.42.381,Patch_Foraging_19_12_30am,2022.1.2,59.95760996805327,
6,0,6,0,2,5,0,2,right,0.006173100002342835,100,0,1100,p1,001,2022-04-21_18h37.42.381,Patch_Foraging_19_12_30am,2022.1.2,59.95760996805327,
7,0,7,0,2,5,1,4,right,1.2629866000061156,100,0,1200,p1,001,2022-04-21_18h37.42.381,Patch_Foraging_19_12_30am,2022.1.2,59.95760996805327,
8,0,8,0,5,1,1,4,left,0.01498510001692921,200,-100,1300,p1,001,2022-04-21_18h37.42.381,Patch_Foraging_19_12_30am,2022.1.2,59.95760996805327,
9,0,9,0,5,1,0,2,right,0.09553670001332648,200,0,1500,p1,001,2022-04-21_18h37.42.381,Patch_Foraging_19_12_30am,2022.1.2,59.95760996805327,
