trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,rewards_captured,shock,total_reward_captured,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,5,1,3,right,0.3380438999738544,0,-100,-100,trail4,001,2022-04-19_16h21.18.339,Patch_Foraging_19_12_30am,2022.1.2,59.99113331281988,
1,0,1,0,2,5,1,5,right,0.3277345999958925,100,-100,-100,trail4,001,2022-04-19_16h21.18.339,Patch_Foraging_19_12_30am,2022.1.2,59.99113331281988,
2,0,2,0,5,1,1,2,left,0.5146100000129081,0,-100,-200,trail4,001,2022-04-19_16h21.18.339,Patch_Foraging_19_12_30am,2022.1.2,59.99113331281988,
3,0,3,0,2,5,1,4,right,0.08725820004474372,100,-100,-200,trail4,001,2022-04-19_16h21.18.339,Patch_Foraging_19_12_30am,2022.1.2,59.99113331281988,
4,0,4,0,1,4,0,5,left,0.25123650004388765,400,0,200,trail4,001,2022-04-19_16h21.18.339,Patch_Foraging_19_12_30am,2022.1.2,59.99113331281988,
