trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,rewards_captured,shock,total_reward_captured,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,4,1,2,right,0.30725579999852926,200,-100,100,p5,001,2022-04-21_18h50.03.280,Patch_Foraging_19_12_30am,2022.1.2,59.99394060951061,
1,0,1,0,5,1,0,3,right,0.014677400002256036,300,0,400,p5,001,2022-04-21_18h50.03.280,Patch_Foraging_19_12_30am,2022.1.2,59.99394060951061,
2,0,2,0,2,5,1,3,right,0.1600553000025684,0,0,400,p5,001,2022-04-21_18h50.03.280,Patch_Foraging_19_12_30am,2022.1.2,59.99394060951061,
3,0,3,0,2,5,0,4,left,0.13402270000369754,300,0,700,p5,001,2022-04-21_18h50.03.280,Patch_Foraging_19_12_30am,2022.1.2,59.99394060951061,
4,0,4,0,5,1,0,2,left,0.8514732999901753,100,0,800,p5,001,2022-04-21_18h50.03.280,Patch_Foraging_19_12_30am,2022.1.2,59.99394060951061,
5,0,5,0,1,4,1,4,right,0.11465660000976641,200,0,1000,p5,001,2022-04-21_18h50.03.280,Patch_Foraging_19_12_30am,2022.1.2,59.99394060951061,
6,0,6,0,1,4,0,4,left,0.08703219999733847,300,0,1300,p5,001,2022-04-21_18h50.03.280,Patch_Foraging_19_12_30am,2022.1.2,59.99394060951061,
7,0,7,0,1,4,1,4,right,0.19493890000740066,100,-100,1300,p5,001,2022-04-21_18h50.03.280,Patch_Foraging_19_12_30am,2022.1.2,59.99394060951061,
8,0,8,0,2,5,0,2,left,0.014578699992853217,100,0,1400,p5,001,2022-04-21_18h50.03.280,Patch_Foraging_19_12_30am,2022.1.2,59.99394060951061,
9,0,9,0,5,1,1,2,left,0.6049290999944787,100,0,1500,p5,001,2022-04-21_18h50.03.280,Patch_Foraging_19_12_30am,2022.1.2,59.99394060951061,
