trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,rewards_captured,shock,total_reward_captured,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,5,1,3,right,1.588672999991104,100,-100,0,trail7,001,2022-04-19_16h36.59.871,Patch_Foraging_19_12_30am,2022.1.2,59.99754011006313,
1,0,1,0,2,5,0,2,left,1.1029834000510164,100,0,100,trail7,001,2022-04-19_16h36.59.871,Patch_Foraging_19_12_30am,2022.1.2,59.99754011006313,
2,0,2,0,1,4,0,3,left,0.38316810003016144,200,0,300,trail7,001,2022-04-19_16h36.59.871,Patch_Foraging_19_12_30am,2022.1.2,59.99754011006313,
3,0,3,0,2,5,0,4,left,0.4341884999885224,300,0,600,trail7,001,2022-04-19_16h36.59.871,Patch_Foraging_19_12_30am,2022.1.2,59.99754011006313,
4,0,4,0,2,5,1,4,right,1.4756890999851748,100,-100,600,trail7,001,2022-04-19_16h36.59.871,Patch_Foraging_19_12_30am,2022.1.2,59.99754011006313,
