trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,rewards_captured,shock,total_reward_captured,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,2,5,0,1,left,0.30343459999971856,100,0,100,,001,2022-04-19_10h57.20.325,Patch_Foraging_19_12_30am,2022.1.2,59.893760447709624,
1,0,1,0,5,1,1,1,left,0.2697534999999789,0,-100,0,,001,2022-04-19_10h57.20.325,Patch_Foraging_19_12_30am,2022.1.2,59.893760447709624,
2,0,2,0,2,5,0,4,left,0.3531863999999132,300,0,300,,001,2022-04-19_10h57.20.325,Patch_Foraging_19_12_30am,2022.1.2,59.893760447709624,
3,0,3,0,2,5,0,4,left,0.07019429999991189,300,0,600,,001,2022-04-19_10h57.20.325,Patch_Foraging_19_12_30am,2022.1.2,59.893760447709624,
4,0,4,0,1,4,0,3,left,0.5651576000000205,300,0,900,,001,2022-04-19_10h57.20.325,Patch_Foraging_19_12_30am,2022.1.2,59.893760447709624,
