trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,left_competitors,right_competitors,threat,no_rewards,key_resp.keys,key_resp.rt,rewards_captured,shock,total_reward_captured,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,1,0,4,right,0.6848845000495203,400,0,400,trail5,001,2022-04-19_16h23.49.751,Patch_Foraging_19_12_30am,2022.1.2,60.00967355619001,
1,0,1,0,1,4,0,4,left,0.06642440002178773,200,0,600,trail5,001,2022-04-19_16h23.49.751,Patch_Foraging_19_12_30am,2022.1.2,60.00967355619001,
2,0,2,0,5,1,1,3,left,0.5790623999782838,0,0,600,trail5,001,2022-04-19_16h23.49.751,Patch_Foraging_19_12_30am,2022.1.2,60.00967355619001,
3,0,3,0,2,5,1,5,right,0.17372790002264082,100,0,700,trail5,001,2022-04-19_16h23.49.751,Patch_Foraging_19_12_30am,2022.1.2,60.00967355619001,
4,0,4,0,5,1,1,4,left,0.11187629995401949,100,0,800,trail5,001,2022-04-19_16h23.49.751,Patch_Foraging_19_12_30am,2022.1.2,60.00967355619001,
